"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,74,"with_intercept",-0.720486352738242,1.78179473518751,1.38179473518751,0.503333333333333
0.4,75,"no_intercept",NA,0.471907678884921,0.0719076788849214,0.526666666666667
0.4,75,"with_intercept",0.171357270774606,0.210415879669178,0.189584120330822,0.526666666666667
0.4,76,"no_intercept",NA,0.390165540952699,0.0098344590473009,0.522222222222222
0.4,76,"with_intercept",0.782802392124079,-0.807938146928327,1.20793814692833,0.522222222222222
0.4,77,"no_intercept",NA,0.616386850234696,0.216386850234696,0.504444444444444
0.4,77,"with_intercept",-0.388975019773494,1.24373629705477,0.843736297054773,0.504444444444444
0.4,78,"no_intercept",NA,0.460265991147762,0.0602659911477617,0.53
0.4,78,"with_intercept",0.322726950855114,-0.0325745681174651,0.432574568117465,0.53
0.4,79,"no_intercept",NA,0.265959366026387,0.134040633973613,0.488888888888889
0.4,79,"with_intercept",-0.705600699962054,1.37711546801056,0.977115468010561,0.488888888888889
0.4,80,"no_intercept",NA,0.179633631508925,0.220366368491075,0.471111111111111
0.4,80,"with_intercept",-0.464350864872405,0.944690403766159,0.544690403766159,0.471111111111111
0.4,81,"no_intercept",NA,0.485415785015824,0.0854157850158239,0.513333333333333
0.4,81,"with_intercept",-0.0337982699122274,0.53971760285,0.13971760285,0.513333333333333
0.4,82,"no_intercept",NA,0.142445128578732,0.257554871421268,0.496666666666667
0.4,82,"with_intercept",-0.0739504024206687,0.254870072280079,0.145129927719921,0.496666666666667
0.4,83,"no_intercept",NA,0.93379997164963,0.533799971649629,0.512222222222222
0.4,83,"with_intercept",0.158397721391727,0.692803670320971,0.292803670320971,0.512222222222222
0.4,84,"no_intercept",NA,0.242934653287198,0.157065346712802,0.51
0.4,84,"with_intercept",0.584826420117835,-0.738909448379811,1.13890944837981,0.51
0.4,85,"no_intercept",NA,0.862425444985581,0.462425444985581,0.523333333333333
0.4,85,"with_intercept",0.352081625951633,0.318051331862728,0.081948668137272,0.523333333333333
0.4,86,"no_intercept",NA,0.905182036636439,0.505182036636439,0.522222222222222
0.4,86,"with_intercept",-0.81882587181403,2.18875064674577,1.78875064674577,0.522222222222222
0.4,87,"no_intercept",NA,0.605700418766401,0.205700418766401,0.491111111111111
0.4,87,"with_intercept",0.241078219227414,0.231369187798656,0.168630812201344,0.491111111111111
0.4,88,"no_intercept",NA,0.935216673544196,0.535216673544196,0.496666666666667
0.4,88,"with_intercept",-0.265876139006101,1.3732328846527,0.973232884652698,0.496666666666667
0.4,89,"no_intercept",NA,0.393716010741684,0.00628398925831619,0.507777777777778
0.4,89,"with_intercept",-0.476761620743867,1.11769631266089,0.717696312660893,0.507777777777778
0.4,90,"no_intercept",NA,0.383194339869113,0.0168056601308865,0.53
0.4,90,"with_intercept",0.567169567917626,-0.449694616894754,0.849694616894754,0.53
